# R (a.u.)   X(1)1Sigma+          A(2)1Sigma+         (3)1Sigma+         (4)1Sigma+           (5)1Sigma+         (6)1Sigma+          (7)1Sigma+           (1)1Pi             (2)1Pi              (3)1Pi              (4)1Pi               (5)1Pi
    26.300    0.5600000000E-02    0.3681935624E+01    0.2407018536E+01    0.9229909948E-01    0.5035829327E-01    0.1050491446E+00    0.4471944436E-01    0.2831729463E+01    0.3269023967E+01    0.8923876246E-01    0.1479898404E-01    0.2498612122E+00
    26.400    0.5592687728E-02    0.3677400000E+01    0.2413000000E+01    0.9060000000E-01    0.4780000000E-01    0.1038000000E+00    0.4360000000E-01    0.2835300000E+01    0.3266100000E+01    0.8820000000E-01    0.1460000000E-01    0.2498000000E+00
    26.500    0.5600000000E-02    0.3672882772E+01    0.2418979985E+01    0.8887718029E-01    0.4534171863E-01    0.1010629084E+00    0.4240131311E-01    0.2838814611E+01    0.3263639168E+01    0.8718505354E-01    0.1440296458E-01    0.2496996847E+00
    26.600    0.5599481219E-02    0.3668400000E+01    0.2424900000E+01    0.8720000000E-01    0.4300000000E-01    0.1018000000E+00    0.4140000000E-01    0.2842300000E+01    0.3261300000E+01    0.8620000000E-01    0.1420000000E-01    0.2496000000E+00
    26.700    0.5600000000E-02    0.3663970788E+01    0.2430699023E+01    0.8562967958E-01    0.4077483283E-01    0.1074491949E+00    0.4078780342E-01    0.2845774592E+01    0.3258731863E+01    0.8524602354E-01    0.1398915771E-01    0.2495400490E+00
    26.800    0.5609387396E-02    0.3659599957E+01    0.2436400057E+01    0.8409998458E-01    0.3859997823E-01    0.1001997876E+00    0.4009999065E-01    0.2849200034E+01    0.3256099974E+01    0.8429999048E-01    0.1379999834E-01    0.2494999996E+00
    26.900    0.5600000000E-02    0.3655283951E+01    0.2442036585E+01    0.8254155747E-01    0.3642138788E-01    0.6708984618E-01    0.3886840848E-01    0.2852537117E+01    0.3253595805E+01    0.8334332509E-01    0.1365289957E-01    0.2494526182E+00
    27.000    0.5550469196E-02    0.3651000000E+01    0.2447600000E+01    0.8100000000E-01    0.3430000000E-01    0.3380000000E-01    0.3726767793E-01    0.2855800000E+01    0.3251000000E+01    0.8240000000E-01    0.1350000000E-01    0.2494000000E+00
    27.100    0.5500000000E-02    0.3646730790E+01    0.2453079792E+01    0.7952904755E-01    0.3230792806E-01    0.2597816094E-01    0.3563310876E-01    0.2859014532E+01    0.3248134849E+01    0.8149314971E-01    0.1329923971E-01    0.2493494769E+00
    27.200    0.5488735819E-02    0.3642500042E+01    0.2458499946E+01    0.7810001425E-01    0.3044700357E-01    0.3049996912E-01    0.3430001071E-01    0.2862199968E+01    0.3245400025E+01    0.8060000898E-01    0.1310000174E-01    0.2493000005E+00
    27.300    0.5500000000E-02    0.3638330505E+01    0.2463881598E+01    0.7667979110E-01    0.2870148751E-01    0.2977231636E-01    0.3349376180E-01    0.2865367166E+01    0.3243164870E+01    0.7969660056E-01    0.1295014675E-01    0.2492494757E+00
    27.400    0.5508220845E-02    0.3634200000E+01    0.2469200000E+01    0.7530000000E-01    0.2705564090E-01    0.2710000000E-01    0.3300000000E-01    0.2868500000E+01    0.3241100000E+01    0.7880000000E-01    0.1280000000E-01    0.2492000000E+00
    27.500    0.5509066537E-02    0.3630084809E+01    0.2474431160E+01    0.7398932924E-01    0.2549372473E-01    0.2870756323E-01    0.3254378215E-01    0.2871579210E+01    0.3238818240E+01    0.7793297404E-01    0.1260017794E-01    0.2491526217E+00
    27.600    0.5503515226E-02    0.3626000000E+01    0.2479600000E+01    0.7270000000E-01    0.2400000000E-01    0.3160000000E-01    0.3204759406E-01    0.2874600000E+01    0.3236400000E+01    0.7710000000E-01    0.1240000000E-01    0.2491000000E+00
    27.700    0.5492545064E-02    0.3621967759E+01    0.2484731261E+01    0.7138789215E-01    0.2256445495E-01    0.3175992502E-01    0.3148327877E-01    0.2877565992E+01    0.3234012169E+01    0.7629650342E-01    0.1224914149E-01    0.2490400377E+00
    27.800    0.5477134203E-02    0.3617999961E+01    0.2489800050E+01    0.7009998747E-01    0.2119998677E-01    0.3029998529E-01    0.3082267930E-01    0.2880500029E+01    0.3231699977E+01    0.7549999198E-01    0.1209999828E-01    0.2489999998E+00
    27.900    0.5458260794E-02    0.3614094040E+01    0.2494781439E+01    0.6888406581E-01    0.1992013600E-01    0.2917369034E-01    0.3003763870E-01    0.2883419407E+01    0.3229458017E+01    0.7469348938E-01    0.1190325148E-01    0.2489997268E+00
    28.000    0.5436902989E-02    0.3610200000E+01    0.2499700000E+01    0.6770000000E-01    0.1871810831E-01    0.2856802077E-01    0.2910000000E-01    0.2886300000E+01    0.3227200000E+01    0.7390000000E-01    0.1170000000E-01    0.2490000000E+00
